id,attributes/0/trait_type,attributes/0/value,attributes/1/trait_type,attributes/1/value,attributes/2/trait_type,attributes/2/value
1509,Planet,Sindari South,Rarity,8,Inhabitant,Pampan M
1510,Planet,Sindari North,Rarity,20,Inhabitant,Zandoan F
1511,Planet,Sindari South,Rarity,19,Inhabitant,Zandoan M
1512,Planet,Sindari North,Rarity,18,Inhabitant,Cristallian M
1513,Planet,Sindari South,Rarity,15,Inhabitant,Cruthan F
1514,Planet,Sindari North,Rarity,31,Inhabitant,Cristallian M
1515,Planet,Sindari North,Rarity,31,Inhabitant,Sindarin M
1516,Planet,Sindari South,Rarity,24,Inhabitant,Kitan M
1517,Planet,Sindari South,Rarity,17,Inhabitant,Ozaran F
1518,Planet,Sindari North,Rarity,11,Inhabitant,Cristallian M
1519,Planet,Sindari North,Rarity,7,Inhabitant,Ozaran M
1520,Planet,Sindari South,Rarity,7,Inhabitant,Pampan F
1521,Planet,Sindari North,Rarity,12,Inhabitant,Gredican F
1522,Planet,Sindari South,Rarity,19,Inhabitant,Zandoan M
1523,Planet,Sindari South,Rarity,12,Inhabitant,Cristallian F
1524,Planet,Sindari South,Rarity,21,Inhabitant,Minasan F
1525,Planet,Sindari South,Rarity,3,Inhabitant,Minasan M
1526,Planet,Sindari South,Rarity,3,Inhabitant,Zandoan M
1527,Planet,Sindari North,Rarity,4,Inhabitant,Minasan M
1528,Planet,Sindari South,Rarity,7,Inhabitant,Kitan M
1529,Planet,Sindari North,Rarity,4,Inhabitant,Gredican F
1530,Planet,Sindari South,Rarity,6,Inhabitant,Ozaran M
1531,Planet,Sindari North,Rarity,9,Inhabitant,Sindarin M
1532,Planet,Sindari North,Rarity,21,Inhabitant,Cruthan M
1533,Planet,Sindari North,Rarity,17,Inhabitant,Gredican M
1534,Planet,Sindari South,Rarity,27,Inhabitant,Pampan F
1535,Planet,Sindari South,Rarity,13,Inhabitant,Sindarin M
1536,Planet,Sindari South,Rarity,5,Inhabitant,Ozaran M
1537,Planet,Sindari South,Rarity,6,Inhabitant,Minasan M
1538,Planet,Sindari South,Rarity,8,Inhabitant,Sindarin M
1539,Planet,Sindari South,Rarity,22,Inhabitant,Pampan F
1540,Planet,Sindari North,Rarity,2,Inhabitant,Cristallian M
1541,Planet,Sindari North,Rarity,6,Inhabitant,Lusan M
1542,Planet,Sindari North,Rarity,29,Inhabitant,Kitan F
1543,Planet,Sindari South,Rarity,3,Inhabitant,Ozaran M
1544,Planet,Sindari South,Rarity,22,Inhabitant,Cruthan F
1545,Planet,Sindari South,Rarity,10,Inhabitant,Zandoan M
1546,Planet,Sindari South,Rarity,40,Inhabitant,Pampan F
1547,Planet,Sindari North,Rarity,8,Inhabitant,Zandoan M
1548,Planet,Sindari North,Rarity,7,Inhabitant,Pampan F
1549,Planet,Sindari North,Rarity,16,Inhabitant,Cruthan F
1550,Planet,Sindari South,Rarity,17,Inhabitant,Pampan M
1551,Planet,Sindari South,Rarity,1,Inhabitant,Cristallian M
1552,Planet,Sindari North,Rarity,23,Inhabitant,Kitan F
1553,Planet,Sindari South,Rarity,11,Inhabitant,Cristallian M
1554,Planet,Sindari South,Rarity,1,Inhabitant,Gredican F
1555,Planet,Sindari North,Rarity,29,Inhabitant,Minasan F
1556,Planet,Sindari South,Rarity,5,Inhabitant,Cristallian M
1557,Planet,Sindari North,Rarity,1,Inhabitant,Sindarin M
1558,Planet,Sindari South,Rarity,6,Inhabitant,Kitan M
1559,Planet,Sindari South,Rarity,13,Inhabitant,Zandoan M
1560,Planet,Sindari South,Rarity,12,Inhabitant,Gredican M
1561,Planet,Sindari North,Rarity,13,Inhabitant,Pampan M
1562,Planet,Sindari South,Rarity,23,Inhabitant,Ozaran M
1563,Planet,Sindari South,Rarity,23,Inhabitant,Cristallian F
1564,Planet,Sindari North,Rarity,22,Inhabitant,Kitan M
1565,Planet,Sindari South,Rarity,19,Inhabitant,Lusan F
1566,Planet,Sindari South,Rarity,6,Inhabitant,Ozaran F
1567,Planet,Sindari South,Rarity,12,Inhabitant,Sindarin M
1568,Planet,Sindari South,Rarity,18,Inhabitant,Zandoan M
1569,Planet,Sindari South,Rarity,6,Inhabitant,Kitan M
1570,Planet,Sindari North,Rarity,9,Inhabitant,Cruthan F
1571,Planet,Sindari South,Rarity,34,Inhabitant,Cristallian F
1572,Planet,Sindari South,Rarity,19,Inhabitant,Cristallian F
1573,Planet,Sindari South,Rarity,24,Inhabitant,Cristallian F
1574,Planet,Sindari North,Rarity,13,Inhabitant,Zandoan F
1575,Planet,Sindari North,Rarity,1,Inhabitant,Lusan F
1576,Planet,Sindari South,Rarity,18,Inhabitant,Sindarin M
1577,Planet,Sindari North,Rarity,5,Inhabitant,Pampan F
1578,Planet,Sindari North,Rarity,6,Inhabitant,Lusan F
1579,Planet,Sindari South,Rarity,22,Inhabitant,Cristallian F
1580,Planet,Sindari North,Rarity,1,Inhabitant,Minasan F
1581,Planet,Sindari North,Rarity,15,Inhabitant,Kitan F
1582,Planet,Sindari North,Rarity,1,Inhabitant,Cruthan F
1583,Planet,Sindari South,Rarity,1,Inhabitant,Kitan M
1584,Planet,Sindari South,Rarity,1,Inhabitant,Cruthan M
1585,Planet,Sindari South,Rarity,20,Inhabitant,Sindarin F
1586,Planet,Sindari North,Rarity,3,Inhabitant,Lusan M
1587,Planet,Sindari North,Rarity,23,Inhabitant,Lusan F
1588,Planet,Sindari North,Rarity,19,Inhabitant,Ozaran M
1589,Planet,Sindari South,Rarity,17,Inhabitant,Kitan F
1590,Planet,Sindari South,Rarity,14,Inhabitant,Gredican F
1591,Planet,Sindari South,Rarity,25,Inhabitant,Gredican F
1592,Planet,Sindari South,Rarity,30,Inhabitant,Sindarin M
1593,Planet,Sindari South,Rarity,27,Inhabitant,Ozaran F
1594,Planet,Sindari South,Rarity,22,Inhabitant,Cruthan M
1595,Planet,Sindari North,Rarity,30,Inhabitant,Gredican F
1596,Planet,Sindari North,Rarity,3,Inhabitant,Lusan F
1597,Planet,Sindari North,Rarity,23,Inhabitant,Zandoan F
1598,Planet,Sindari South,Rarity,25,Inhabitant,Ozaran M
1599,Planet,Sindari South,Rarity,21,Inhabitant,Zandoan F
1600,Planet,Sindari South,Rarity,3,Inhabitant,Cruthan F
1601,Planet,Sindari South,Rarity,18,Inhabitant,Pampan F
1602,Planet,Sindari South,Rarity,8,Inhabitant,Minasan M
1603,Planet,Sindari North,Rarity,32,Inhabitant,Minasan M
1604,Planet,Sindari North,Rarity,21,Inhabitant,Kitan M
1605,Planet,Sindari South,Rarity,12,Inhabitant,Ozaran M
1606,Planet,Sindari South,Rarity,32,Inhabitant,Kitan F
1607,Planet,Sindari North,Rarity,24,Inhabitant,Lusan M
1608,Planet,Sindari South,Rarity,15,Inhabitant,Zandoan F
1609,Planet,Sindari South,Rarity,20,Inhabitant,Ozaran F
1610,Planet,Sindari South,Rarity,17,Inhabitant,Zandoan M
1611,Planet,Sindari North,Rarity,18,Inhabitant,Ozaran F
1612,Planet,Sindari North,Rarity,23,Inhabitant,Pampan F
1613,Planet,Sindari South,Rarity,7,Inhabitant,Zandoan M
1614,Planet,Sindari South,Rarity,10,Inhabitant,Gredican M
1615,Planet,Sindari North,Rarity,18,Inhabitant,Zandoan M
1616,Planet,Sindari South,Rarity,16,Inhabitant,Cristallian M
1617,Planet,Sindari North,Rarity,8,Inhabitant,Kitan M
1618,Planet,Sindari South,Rarity,21,Inhabitant,Cruthan M
1619,Planet,Sindari South,Rarity,19,Inhabitant,Zandoan F
1620,Planet,Sindari South,Rarity,14,Inhabitant,Zandoan M
1621,Planet,Sindari North,Rarity,29,Inhabitant,Zandoan M
1622,Planet,Sindari North,Rarity,40,Inhabitant,Ozaran F
1623,Planet,Sindari South,Rarity,28,Inhabitant,Kitan F
1624,Planet,Sindari North,Rarity,17,Inhabitant,Cristallian F
1625,Planet,Sindari North,Rarity,19,Inhabitant,Gredican M
1626,Planet,Sindari South,Rarity,7,Inhabitant,Minasan M
1627,Planet,Sindari North,Rarity,5,Inhabitant,Pampan M
1628,Planet,Sindari South,Rarity,10,Inhabitant,Sindarin M
1629,Planet,Sindari South,Rarity,4,Inhabitant,Cruthan F
1630,Planet,Sindari South,Rarity,17,Inhabitant,Zandoan M
1631,Planet,Sindari South,Rarity,16,Inhabitant,Gredican M
1632,Planet,Sindari South,Rarity,20,Inhabitant,Kitan F
1633,Planet,Sindari South,Rarity,32,Inhabitant,Zandoan F
1634,Planet,Sindari South,Rarity,3,Inhabitant,Pampan M
1635,Planet,Sindari North,Rarity,23,Inhabitant,Kitan M
1636,Planet,Sindari South,Rarity,21,Inhabitant,Pampan F
1637,Planet,Sindari North,Rarity,8,Inhabitant,Minasan M
1638,Planet,Sindari South,Rarity,13,Inhabitant,Minasan M
1639,Planet,Sindari South,Rarity,25,Inhabitant,Minasan F
1640,Planet,Sindari North,Rarity,5,Inhabitant,Kitan F
1641,Planet,Sindari South,Rarity,17,Inhabitant,Minasan F
1642,Planet,Sindari North,Rarity,18,Inhabitant,Zandoan F
1643,Planet,Sindari South,Rarity,9,Inhabitant,Kitan M
1644,Planet,Sindari North,Rarity,7,Inhabitant,Minasan F
1645,Planet,Sindari South,Rarity,13,Inhabitant,Zandoan F
1646,Planet,Sindari South,Rarity,11,Inhabitant,Minasan F
1647,Planet,Sindari South,Rarity,31,Inhabitant,Cristallian F
1648,Planet,Sindari South,Rarity,10,Inhabitant,Kitan M
1649,Planet,Sindari North,Rarity,7,Inhabitant,Kitan M
1650,Planet,Sindari North,Rarity,21,Inhabitant,Cristallian F
1651,Planet,Sindari North,Rarity,28,Inhabitant,Cristallian M
1652,Planet,Sindari South,Rarity,16,Inhabitant,Cristallian F
1653,Planet,Sindari South,Rarity,4,Inhabitant,Cristallian M
1654,Planet,Sindari South,Rarity,35,Inhabitant,Minasan F
1655,Planet,Sindari South,Rarity,27,Inhabitant,Zandoan F
1656,Planet,Sindari South,Rarity,9,Inhabitant,Cristallian M
1657,Planet,Sindari North,Rarity,4,Inhabitant,Sindarin F
1658,Planet,Sindari South,Rarity,30,Inhabitant,Gredican M
1659,Planet,Sindari South,Rarity,4,Inhabitant,Minasan F
1660,Planet,Sindari South,Rarity,6,Inhabitant,Zandoan M
1661,Planet,Sindari South,Rarity,4,Inhabitant,Zandoan M
1662,Planet,Sindari South,Rarity,32,Inhabitant,Lusan F
1663,Planet,Sindari South,Rarity,32,Inhabitant,Kitan M
1664,Planet,Sindari South,Rarity,24,Inhabitant,Cristallian F
1665,Planet,Sindari South,Rarity,17,Inhabitant,Sindarin F
1666,Planet,Sindari South,Rarity,10,Inhabitant,Gredican F
1667,Planet,Sindari South,Rarity,25,Inhabitant,Zandoan M
1668,Planet,Sindari North,Rarity,20,Inhabitant,Lusan M
1669,Planet,Sindari North,Rarity,19,Inhabitant,Pampan M
1670,Planet,Sindari South,Rarity,14,Inhabitant,Minasan M
1671,Planet,Sindari South,Rarity,37,Inhabitant,Kitan M
1672,Planet,Sindari South,Rarity,20,Inhabitant,Cruthan F
1673,Planet,Sindari South,Rarity,21,Inhabitant,Sindarin F
1674,Planet,Sindari South,Rarity,25,Inhabitant,Kitan F
1675,Planet,Sindari North,Rarity,2,Inhabitant,Zandoan M
1676,Planet,Sindari North,Rarity,3,Inhabitant,Zandoan F
1677,Planet,Sindari South,Rarity,14,Inhabitant,Kitan M
1678,Planet,Sindari North,Rarity,18,Inhabitant,Minasan M
1679,Planet,Sindari North,Rarity,11,Inhabitant,Kitan M
1680,Planet,Sindari South,Rarity,22,Inhabitant,Ozaran F
1681,Planet,Sindari South,Rarity,15,Inhabitant,Lusan F
1682,Planet,Sindari South,Rarity,9,Inhabitant,Gredican F
1683,Planet,Sindari North,Rarity,18,Inhabitant,Cristallian F
1684,Planet,Sindari North,Rarity,17,Inhabitant,Kitan M
1685,Planet,Sindari South,Rarity,25,Inhabitant,Gredican M
1686,Planet,Sindari North,Rarity,1,Inhabitant,Gredican F
1687,Planet,Sindari North,Rarity,8,Inhabitant,Cristallian F
1688,Planet,Sindari North,Rarity,13,Inhabitant,Zandoan M
1689,Planet,Sindari South,Rarity,24,Inhabitant,Pampan F
1690,Planet,Sindari South,Rarity,22,Inhabitant,Kitan M
1691,Planet,Sindari South,Rarity,2,Inhabitant,Cruthan F
1692,Planet,Sindari North,Rarity,27,Inhabitant,Cruthan F
1693,Planet,Sindari North,Rarity,19,Inhabitant,Kitan F
1694,Planet,Sindari North,Rarity,19,Inhabitant,Zandoan M
1695,Planet,Sindari South,Rarity,25,Inhabitant,Cristallian F
1696,Planet,Sindari North,Rarity,13,Inhabitant,Pampan F
1697,Planet,Sindari North,Rarity,33,Inhabitant,Cristallian M
1698,Planet,Sindari North,Rarity,2,Inhabitant,Pampan M
1699,Planet,Sindari North,Rarity,22,Inhabitant,Zandoan M
1700,Planet,Sindari South,Rarity,10,Inhabitant,Cruthan M
1701,Planet,Sindari South,Rarity,1,Inhabitant,Ozaran F
1702,Planet,Sindari North,Rarity,16,Inhabitant,Kitan F
1703,Planet,Sindari South,Rarity,23,Inhabitant,Ozaran F
1704,Planet,Sindari South,Rarity,34,Inhabitant,Gredican M
1705,Planet,Sindari South,Rarity,10,Inhabitant,Lusan F
1706,Planet,Sindari South,Rarity,21,Inhabitant,Cristallian M
1707,Planet,Sindari South,Rarity,12,Inhabitant,Kitan F
1708,Planet,Sindari North,Rarity,11,Inhabitant,Kitan M
1709,Planet,Sindari North,Rarity,15,Inhabitant,Lusan F
1710,Planet,Sindari South,Rarity,11,Inhabitant,Zandoan F
1711,Planet,Sindari North,Rarity,21,Inhabitant,Pampan M
1712,Planet,Sindari South,Rarity,12,Inhabitant,Sindarin F
1713,Planet,Sindari South,Rarity,13,Inhabitant,Sindarin F
1714,Planet,Sindari South,Rarity,7,Inhabitant,Kitan M
1715,Planet,Sindari South,Rarity,12,Inhabitant,Kitan M
1716,Planet,Sindari North,Rarity,1,Inhabitant,Kitan F
1717,Planet,Sindari North,Rarity,8,Inhabitant,Pampan F
1718,Planet,Sindari South,Rarity,2,Inhabitant,Zandoan F
1719,Planet,Sindari North,Rarity,7,Inhabitant,Ozaran M
1720,Planet,Sindari North,Rarity,10,Inhabitant,Ozaran M
1721,Planet,Sindari North,Rarity,2,Inhabitant,Cruthan F
1722,Planet,Sindari South,Rarity,24,Inhabitant,Gredican M
1723,Planet,Sindari South,Rarity,22,Inhabitant,Gredican F
1724,Planet,Sindari North,Rarity,22,Inhabitant,Sindarin F
1725,Planet,Sindari North,Rarity,4,Inhabitant,Cristallian F
1726,Planet,Sindari South,Rarity,23,Inhabitant,Gredican F
1727,Planet,Sindari South,Rarity,3,Inhabitant,Ozaran M
1728,Planet,Sindari South,Rarity,13,Inhabitant,Minasan F
1729,Planet,Sindari South,Rarity,8,Inhabitant,Pampan F
1730,Planet,Sindari South,Rarity,20,Inhabitant,Cristallian F
1731,Planet,Sindari North,Rarity,2,Inhabitant,Kitan F
1732,Planet,Sindari South,Rarity,8,Inhabitant,Cruthan F
1733,Planet,Sindari North,Rarity,11,Inhabitant,Kitan M
1734,Planet,Sindari South,Rarity,2,Inhabitant,Kitan M
1735,Planet,Sindari North,Rarity,4,Inhabitant,Lusan M
1736,Planet,Sindari South,Rarity,16,Inhabitant,Ozaran M
1737,Planet,Sindari South,Rarity,7,Inhabitant,Sindarin F
1738,Planet,Sindari North,Rarity,18,Inhabitant,Kitan F
1739,Planet,Sindari South,Rarity,5,Inhabitant,Sindarin F
1740,Planet,Sindari South,Rarity,15,Inhabitant,Pampan M
1741,Planet,Sindari South,Rarity,4,Inhabitant,Lusan M
1742,Planet,Sindari North,Rarity,27,Inhabitant,Kitan F
1743,Planet,Sindari South,Rarity,6,Inhabitant,Zandoan F
1744,Planet,Sindari South,Rarity,29,Inhabitant,Gredican F
1745,Planet,Sindari South,Rarity,13,Inhabitant,Gredican M
1746,Planet,Sindari South,Rarity,15,Inhabitant,Gredican F
1747,Planet,Sindari North,Rarity,13,Inhabitant,Cruthan F
1748,Planet,Sindari South,Rarity,9,Inhabitant,Zandoan M
1749,Planet,Sindari South,Rarity,27,Inhabitant,Sindarin M
1750,Planet,Sindari North,Rarity,29,Inhabitant,Gredican M
1751,Planet,Sindari North,Rarity,1,Inhabitant,Pampan M
1752,Planet,Sindari South,Rarity,14,Inhabitant,Ozaran M
1753,Planet,Sindari North,Rarity,13,Inhabitant,Kitan F
1754,Planet,Sindari South,Rarity,27,Inhabitant,Ozaran M
1755,Planet,Sindari South,Rarity,24,Inhabitant,Sindarin F
1756,Planet,Sindari North,Rarity,29,Inhabitant,Kitan M
1757,Planet,Sindari South,Rarity,27,Inhabitant,Sindarin M
1758,Planet,Sindari North,Rarity,20,Inhabitant,Sindarin F
1759,Planet,Sindari North,Rarity,19,Inhabitant,Minasan M
1760,Planet,Sindari North,Rarity,14,Inhabitant,Sindarin F
1761,Planet,Sindari North,Rarity,5,Inhabitant,Zandoan M
1762,Planet,Sindari South,Rarity,12,Inhabitant,Kitan F
1763,Planet,Sindari South,Rarity,17,Inhabitant,Pampan F
1764,Planet,Sindari North,Rarity,10,Inhabitant,Minasan M
1765,Planet,Sindari North,Rarity,1,Inhabitant,Zandoan F
1766,Planet,Sindari South,Rarity,30,Inhabitant,Kitan M
1767,Planet,Sindari North,Rarity,5,Inhabitant,Zandoan F
1768,Planet,Sindari North,Rarity,30,Inhabitant,Cruthan M
1769,Planet,Sindari South,Rarity,9,Inhabitant,Pampan F
1770,Planet,Sindari South,Rarity,4,Inhabitant,Kitan M
1771,Planet,Sindari North,Rarity,6,Inhabitant,Cruthan M
1772,Planet,Sindari South,Rarity,30,Inhabitant,Minasan F
1773,Planet,Sindari South,Rarity,1,Inhabitant,Cruthan M
1774,Planet,Sindari South,Rarity,16,Inhabitant,Cruthan F
1775,Planet,Sindari South,Rarity,5,Inhabitant,Sindarin F
1776,Planet,Sindari South,Rarity,7,Inhabitant,Cruthan M
1777,Planet,Sindari South,Rarity,18,Inhabitant,Lusan F
1778,Planet,Sindari South,Rarity,6,Inhabitant,Pampan M
1779,Planet,Sindari North,Rarity,7,Inhabitant,Ozaran F
1780,Planet,Sindari North,Rarity,9,Inhabitant,Pampan M
1781,Planet,Sindari North,Rarity,6,Inhabitant,Sindarin M
1782,Planet,Sindari North,Rarity,11,Inhabitant,Cristallian F
1783,Planet,Sindari North,Rarity,2,Inhabitant,Cristallian F
1784,Planet,Sindari South,Rarity,34,Inhabitant,Ozaran F
1785,Planet,Sindari South,Rarity,13,Inhabitant,Sindarin F
1786,Planet,Sindari North,Rarity,27,Inhabitant,Lusan M
1787,Planet,Sindari North,Rarity,2,Inhabitant,Sindarin M
1788,Planet,Sindari North,Rarity,4,Inhabitant,Cruthan F
1789,Planet,Sindari North,Rarity,3,Inhabitant,Kitan M
1790,Planet,Sindari North,Rarity,15,Inhabitant,Zandoan F
1791,Planet,Sindari North,Rarity,2,Inhabitant,Gredican F
1792,Planet,Sindari South,Rarity,25,Inhabitant,Cristallian F
1793,Planet,Sindari North,Rarity,5,Inhabitant,Cristallian M
1794,Planet,Sindari South,Rarity,4,Inhabitant,Zandoan M
1795,Planet,Sindari South,Rarity,20,Inhabitant,Ozaran F
1796,Planet,Sindari North,Rarity,7,Inhabitant,Kitan M
1797,Planet,Sindari South,Rarity,18,Inhabitant,Gredican F
1798,Planet,Sindari South,Rarity,14,Inhabitant,Kitan F
1799,Planet,Sindari North,Rarity,8,Inhabitant,Minasan F
1800,Planet,Sindari South,Rarity,19,Inhabitant,Minasan F
1801,Planet,Sindari South,Rarity,24,Inhabitant,Kitan F
1802,Planet,Sindari South,Rarity,4,Inhabitant,Sindarin M
1803,Planet,Sindari South,Rarity,31,Inhabitant,Pampan F
1804,Planet,Sindari South,Rarity,24,Inhabitant,Minasan M
1805,Planet,Sindari South,Rarity,29,Inhabitant,Gredican F
1806,Planet,Sindari North,Rarity,2,Inhabitant,Minasan F
1807,Planet,Sindari South,Rarity,2,Inhabitant,Ozaran F
1808,Planet,Sindari South,Rarity,25,Inhabitant,Minasan F
1809,Planet,Sindari North,Rarity,12,Inhabitant,Lusan F
1810,Planet,Sindari North,Rarity,3,Inhabitant,Kitan M
1811,Planet,Sindari North,Rarity,26,Inhabitant,Kitan F
1812,Planet,Sindari South,Rarity,1,Inhabitant,Cristallian M
1813,Planet,Sindari North,Rarity,7,Inhabitant,Sindarin M
1814,Planet,Sindari North,Rarity,15,Inhabitant,Sindarin M
1815,Planet,Sindari South,Rarity,27,Inhabitant,Zandoan F
1816,Planet,Sindari South,Rarity,19,Inhabitant,Sindarin F
1817,Planet,Sindari North,Rarity,7,Inhabitant,Gredican F
1818,Planet,Sindari North,Rarity,8,Inhabitant,Cruthan M
1819,Planet,Sindari South,Rarity,2,Inhabitant,Kitan F
1820,Planet,Sindari South,Rarity,18,Inhabitant,Pampan F
1821,Planet,Sindari North,Rarity,3,Inhabitant,Cristallian M
1822,Planet,Sindari South,Rarity,3,Inhabitant,Gredican M
1823,Planet,Sindari North,Rarity,1,Inhabitant,Kitan M
1824,Planet,Sindari North,Rarity,15,Inhabitant,Gredican M
1825,Planet,Sindari South,Rarity,27,Inhabitant,Cristallian F
1826,Planet,Sindari North,Rarity,11,Inhabitant,Pampan F
1827,Planet,Sindari South,Rarity,26,Inhabitant,Sindarin F
1828,Planet,Sindari North,Rarity,12,Inhabitant,Gredican M
1829,Planet,Sindari South,Rarity,20,Inhabitant,Minasan M
1830,Planet,Sindari South,Rarity,26,Inhabitant,Zandoan F
1831,Planet,Sindari North,Rarity,10,Inhabitant,Pampan M
1832,Planet,Sindari North,Rarity,23,Inhabitant,Ozaran F
1833,Planet,Sindari South,Rarity,1,Inhabitant,Kitan M
1834,Planet,Sindari South,Rarity,2,Inhabitant,Gredican M
1835,Planet,Sindari North,Rarity,12,Inhabitant,Minasan F
1836,Planet,Sindari South,Rarity,18,Inhabitant,Pampan M
1837,Planet,Sindari South,Rarity,22,Inhabitant,Kitan M
1838,Planet,Sindari South,Rarity,11,Inhabitant,Pampan M
1839,Planet,Sindari North,Rarity,8,Inhabitant,Ozaran M
1840,Planet,Sindari North,Rarity,24,Inhabitant,Ozaran F
1841,Planet,Sindari South,Rarity,14,Inhabitant,Pampan M
1842,Planet,Sindari North,Rarity,2,Inhabitant,Pampan F
1843,Planet,Sindari South,Rarity,8,Inhabitant,Sindarin M
1844,Planet,Sindari North,Rarity,16,Inhabitant,Minasan M
1845,Planet,Sindari South,Rarity,25,Inhabitant,Minasan M
1846,Planet,Sindari South,Rarity,24,Inhabitant,Gredican M
1847,Planet,Sindari North,Rarity,11,Inhabitant,Minasan F
1848,Planet,Sindari North,Rarity,14,Inhabitant,Gredican M
1849,Planet,Sindari North,Rarity,27,Inhabitant,Ozaran M
1850,Planet,Sindari North,Rarity,9,Inhabitant,Minasan M
1851,Planet,Sindari South,Rarity,6,Inhabitant,Gredican F
1852,Planet,Sindari South,Rarity,8,Inhabitant,Sindarin F
1853,Planet,Sindari South,Rarity,12,Inhabitant,Pampan M
1854,Planet,Sindari South,Rarity,13,Inhabitant,Ozaran F
1855,Planet,Sindari South,Rarity,12,Inhabitant,Gredican M
1856,Planet,Sindari South,Rarity,19,Inhabitant,Minasan F
1857,Planet,Sindari North,Rarity,32,Inhabitant,Gredican F
1858,Planet,Sindari North,Rarity,26,Inhabitant,Cruthan M
1859,Planet,Sindari South,Rarity,9,Inhabitant,Zandoan F
1860,Planet,Sindari South,Rarity,4,Inhabitant,Cruthan M
1861,Planet,Sindari South,Rarity,5,Inhabitant,Pampan M
1862,Planet,Sindari South,Rarity,18,Inhabitant,Lusan M
1863,Planet,Sindari North,Rarity,9,Inhabitant,Lusan M
1864,Planet,Sindari North,Rarity,13,Inhabitant,Minasan M
1865,Planet,Sindari North,Rarity,17,Inhabitant,Cruthan M
1866,Planet,Sindari South,Rarity,1,Inhabitant,Ozaran F
1867,Planet,Sindari South,Rarity,3,Inhabitant,Zandoan F
1868,Planet,Sindari North,Rarity,1,Inhabitant,Lusan M
1869,Planet,Sindari North,Rarity,25,Inhabitant,Cruthan M
1870,Planet,Sindari North,Rarity,13,Inhabitant,Cruthan F
1871,Planet,Sindari North,Rarity,22,Inhabitant,Pampan M
1872,Planet,Sindari North,Rarity,7,Inhabitant,Zandoan F
1873,Planet,Sindari North,Rarity,4,Inhabitant,Cristallian M
1874,Planet,Sindari North,Rarity,6,Inhabitant,Minasan F
1875,Planet,Sindari South,Rarity,30,Inhabitant,Cristallian M
1876,Planet,Sindari North,Rarity,29,Inhabitant,Sindarin F
1877,Planet,Sindari South,Rarity,13,Inhabitant,Pampan M
1878,Planet,Sindari North,Rarity,12,Inhabitant,Gredican M
1879,Planet,Sindari South,Rarity,17,Inhabitant,Cristallian M
1880,Planet,Sindari North,Rarity,15,Inhabitant,Sindarin M
1881,Planet,Sindari South,Rarity,8,Inhabitant,Kitan M
1882,Planet,Sindari South,Rarity,27,Inhabitant,Minasan F
1883,Planet,Sindari South,Rarity,11,Inhabitant,Cristallian F
1884,Planet,Sindari North,Rarity,8,Inhabitant,Cruthan M
1885,Planet,Sindari North,Rarity,33,Inhabitant,Pampan F
1886,Planet,Sindari South,Rarity,12,Inhabitant,Cruthan M
1887,Planet,Sindari South,Rarity,19,Inhabitant,Zandoan F
1888,Planet,Sindari South,Rarity,17,Inhabitant,Gredican F
1889,Planet,Sindari South,Rarity,39,Inhabitant,Kitan F
1890,Planet,Sindari South,Rarity,1,Inhabitant,Zandoan M
1891,Planet,Sindari South,Rarity,2,Inhabitant,Cruthan F
1892,Planet,Sindari South,Rarity,13,Inhabitant,Cruthan M
1893,Planet,Sindari South,Rarity,8,Inhabitant,Kitan M
1894,Planet,Sindari South,Rarity,29,Inhabitant,Kitan M
1895,Planet,Sindari North,Rarity,24,Inhabitant,Cruthan M
1896,Planet,Sindari South,Rarity,12,Inhabitant,Gredican F
1897,Planet,Sindari South,Rarity,22,Inhabitant,Pampan M
1898,Planet,Sindari North,Rarity,22,Inhabitant,Minasan F
1899,Planet,Sindari North,Rarity,6,Inhabitant,Pampan M
1900,Planet,Sindari North,Rarity,5,Inhabitant,Kitan M
1901,Planet,Sindari North,Rarity,12,Inhabitant,Cristallian F
1902,Planet,Sindari South,Rarity,2,Inhabitant,Cruthan M
1903,Planet,Sindari North,Rarity,26,Inhabitant,Minasan M
1904,Planet,Sindari South,Rarity,18,Inhabitant,Gredican F
1905,Planet,Sindari South,Rarity,17,Inhabitant,Minasan F
1906,Planet,Sindari North,Rarity,6,Inhabitant,Pampan F
1907,Planet,Sindari North,Rarity,11,Inhabitant,Ozaran M
1908,Planet,Sindari South,Rarity,1,Inhabitant,Gredican M
1909,Planet,Sindari South,Rarity,19,Inhabitant,Cruthan M
1910,Planet,Sindari North,Rarity,5,Inhabitant,Lusan M
1911,Planet,Sindari South,Rarity,7,Inhabitant,Lusan F
1912,Planet,Sindari South,Rarity,3,Inhabitant,Cristallian F
1913,Planet,Sindari North,Rarity,20,Inhabitant,Ozaran F
1914,Planet,Sindari South,Rarity,19,Inhabitant,Minasan F
1915,Planet,Sindari North,Rarity,9,Inhabitant,Minasan F
1916,Planet,Sindari South,Rarity,11,Inhabitant,Kitan F
1917,Planet,Sindari North,Rarity,2,Inhabitant,Minasan F
1918,Planet,Sindari North,Rarity,16,Inhabitant,Minasan M
1919,Planet,Sindari South,Rarity,11,Inhabitant,Minasan F
1920,Planet,Sindari North,Rarity,24,Inhabitant,Minasan M
1921,Planet,Sindari South,Rarity,3,Inhabitant,Kitan F
1922,Planet,Sindari South,Rarity,4,Inhabitant,Pampan M
1923,Planet,Sindari North,Rarity,11,Inhabitant,Zandoan M
1924,Planet,Sindari South,Rarity,11,Inhabitant,Kitan M
